From,To
P68871,HBB
P69905,HBA2
P02042,HBD
P01024,C3
P02671,FGA
Q60FE5,FLNA
Q9Y490,TLN1
P02675,FGB
P01023,A2M
P02647,APOA1
P35579,MYH9
P02787,TF
P12814,ACTN1
P02751,FN1
P18206,VCL
P02549,SPTA1
P01834,IGKC
P11277,SPTB
P01857,IGHG1
P08514,ITGA2B
P01859,IGHG2
Q14624,ITIH4
P02730,SLC4A1
P01876,IGHA1
P01860,IGHG3
P01871,IGHM
P06727,APOA4
P00738,HP
P68032,ACTC1
P04040,CAT
P01861,IGHG4
P04196,HRG
P16157,ANK1
P00747,PLG
A0A0A0MS51,GSN
P07996,THBS1
P19827,ITIH1
P63104,YWHAZ
P02765,AHSG
P27105,STOM
P01019,AGT
P30041,PRDX6
P04004,VTN
Q86UX7,FERMT3
P32119,PRDX2
P02763,ORM1
P01011,SERPINA3
E7EQB2,LTF
E9PKE3,HSPA8
P11021,HSPA5
P19105,MYL12A
P07737,PFN1
Q13228,SELENBP1
V9GYG9,APOA2
P55072,VCP
P01042,KNG1
P00558,PGK1
P07900,HSP90AA1
P19652,ORM2
P02656,APOC3
P00918,CA2
P07738,BPGM
P26038,MSN
P02775,PPBP
Q9H4B7,TUBB1
G5E9F8,PROS1
P60174,TPI1
A0A0A0MSI0,PRDX1
P00568,AK1
P61981,YWHAG
P00338,LDHA
P11166,SLC2A1
P06702,S100A9
P00742,F10
P31146,CORO1A
O00299,CLIC1
P07384,CAPN1
C9JXI5,TMEM198
P62937,PPIA
P04264,KRT1
P02743,APCS
A0A087X0Q4,IGKV2-40
P11169,SLC2A3
P37837,TALDO1
P62805,H4C1
Q5T4L2,CREB3L4
P09105,HBQ1
Q9NZD4,AHSP
P14770,GP9
P05109,S100A8
O75368,SH3BGRL
P00492,HPRT1
P26447,S100A4
Q5T123,SH3BGRL3
A0A2Q2TTZ9,IGKV1D-33
H0YFX9,H2AJ
P08311,CTSG
P13645,KRT10
R4GN98,S100A6
C9J0K6,SRI
F5H345,HMBS
