From,To
P04114,APOB
P01009,SERPINA1
P00734,F2
P10909,CLU
P02790,HPX
P04406,GAPDH
P08603,CFH
O43707,ACTN4
P02774,GC
P02649,APOE
P0DOY3,IGLC3
Q5T985,ITIH2
P30043,BLVRB
A0A0G2JPA8,SERPINF2
P00488,F13A1
P68366,TUBA4A
P35858,IGFALS
P05546,SERPIND1
O95810,CAVIN2
P04083,ANXA1
P04003,C4BPA
P01008,SERPINC1
P04217,A1BG
P00491,PNP
P27169,PON1
P0DMV9,HSPA1B
F5H7S3,TPM1
P30101,PDIA3
P16452,EPB42
P62258,YWHAE
P05155,SERPING1
Q16610,ECM1
P15531,NME1
O75083,WDR1
A0A087WZB5,PARVB
P08567,PLEK
P27348,YWHAQ
G3XAM2,CFI
P22314,UBA1
P01031,C5
P04275,VWF
O43866,CD5L
P05090,APOD
P01619,IGKV3-20
P02748,C9
P13224,GP1BB
A0A0C4DGZ8,GP1BA
Q13418,ILK
P78371,CCT2
P01780,IGHV3-7
