From,To
P69892,HBG2
P00915,CA1
P00441,SOD1
P60709,ACTB
C9JEU5,FGG
Q4VB86,EPB41
A0A087WWU8,TPM3
P0DP25,CALM3
F5H265,UBC
P05164,MPO
A0A0G2JMB2,IGHA2
P04921,GYPC
Q99497,PARK7
B0YJC4,VIM
P11215,ITGAM
P49773,HINT1
E7EPV7,SNCA
P0DOY2,IGLC2
F8W1R7,MYL6
Q8IXQ3,C9orf40
P00167,CYB5A
P54725,RAD23A
P07195,LDHB
P14780,MMP9
O43598,DNPH1
P31946,YWHAB
P28289,TMOD1
Q06323,PSME1
G3V1A4,CFL1
E5RJR5,SKP1
E7EQ12,CAST
X6RJP6,TAGLN2
P80188,LCN2
I3L397,EIF5A
Q04760,GLO1
P61160,ACTR2
P22061,PCMT1
P20160,AZU1
U3KPS2,PRTN3
P59665,DEFA1
C9JA05,JCHAIN
F2Z2Q9,ACP1
E5RIW3,TBCA
P62310,LSM3
Q9Y2V2,CARHSP1
B0QYP8,PARVB
Q5JRL0,PAGE2B
Q5QPM9,PSMF1
P30086,PEBP1
Q8WXC6,COPS9
