,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1752.44550335407,100.0,5,16,23,509,147,15.98829092466,7.28369140625
1,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],852.209005713463,97.28,5,10,17,257,147,16.04529062466,8.04541015625
2,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],725.308771848679,94.37,4,16,16,229,142,15.24792627466,8.67529296875
3,A0A2R8Y7X9,Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1 - [A0A2R8Y7X9_HUMAN],337.05205309391,76.19,4,1,12,117,168,18.40858482466,6.96142578125
4,P69892,Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2 - [HBG2_HUMAN],328.886268138885,76.19,4,1,12,114,147,16.11629652466,7.19580078125
5,P02100,Hemoglobin subunit epsilon OS=Homo sapiens OX=9606 GN=HBE1 PE=1 SV=2 - [HBE_HUMAN],260.610828280449,18.37,2,1,3,93,147,16.19247089466,8.63134765625
6,P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 - [ALBU_HUMAN],252.823885202408,73.07,8,42,42,86,609,69.32149882466,6.27783203125
7,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 - [CO3_HUMAN],200.698877334595,38.24,4,48,48,62,1663,187.02988373466,6.40478515625
8,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=4 - [FINC_HUMAN],160.171109080315,26.4,3,40,40,51,2386,262.46011262466,5.70654296875
9,P02549,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5 - [SPTA1_HUMAN]",154.60937166214,25.88,1,48,48,55,2419,279.841908974661,5.04638671875
10,P04114,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2 - [APOB_HUMAN],141.479092717171,15.52,2,51,51,54,4563,515.282932694663,7.04931640625
11,Q60FE5,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1 - [Q60FE5_HUMAN],140.085890054703,24.54,8,38,40,45,2620,278.052770494661,6.06201171875
12,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 - [FIBA_HUMAN],139.095776557922,28.41,2,18,18,46,866,94.9144191846604,6.01123046875
13,P02730,Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3 - [B3AT_HUMAN],137.989387989044,24.26,2,16,16,39,911,101.72741707466,5.18603515625
14,P11277,"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5 - [SPTB1_HUMAN]",123.98765206337,25.64,7,37,37,39,2137,246.31574488466,5.27490234375
15,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],120.217847108841,22.86,9,31,34,39,1960,226.39160226466,5.60498046875
16,P01023,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3 - [A2MG_HUMAN],117.481129646301,33.72,4,31,35,40,1474,163.18789839466,6.45556640625
17,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],113.62714099884,17.91,4,28,28,32,2541,269.59906266466,6.07470703125
18,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN],112.337151050568,62.17,2,17,17,37,267,30.75893391466,5.75732421875
19,P16157,Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3 - [ANK1_HUMAN],97.6919547319412,22.38,6,30,30,34,1881,206.13693402466,6.01123046875
20,P00915,Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2 - [CAH1_HUMAN],96.8871771097183,69.73,12,6,15,32,261,28.85238934466,7.12255859375
21,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2 - [ACTN1_HUMAN],89.730434179306,37.78,25,28,28,31,892,102.99263728466,5.41455078125
22,P01857,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1 - [IGHG1_HUMAN],89.6650462150574,50.61,3,5,12,29,330,36.08316847466,8.19189453125
23,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4 - [VINC_HUMAN],84.4669613838196,30.42,2,26,26,27,1134,123.72181897466,5.65576171875
24,P32119,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5 - [PRDX2_HUMAN],84.306444644928,69.19,3,12,13,27,198,21.87823885466,5.97314453125
25,P00441,Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2 - [SODC_HUMAN],80.5107859373093,68.83,2,7,7,17,154,15.92590463466,6.12548828125
