,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1845.11066031456,100.0,5,17,25,502,147,15.98829092466,7.28369140625
1,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],1185.09933054447,94.37,2,7,20,331,142,15.24792627466,8.67529296875
2,A0A2R8Y7C0,Hemoglobin subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=HBA2 PE=1 SV=1 - [A0A2R8Y7C0_HUMAN],1113.68034553528,67.16,1,1,14,310,134,13.94411081466,9.08544921875
3,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],989.872390151024,97.28,5,13,21,275,147,16.04529062466,8.04541015625
4,P69891,Hemoglobin subunit gamma-1 OS=Homo sapiens OX=9606 GN=HBG1 PE=1 SV=2 - [HBG1_HUMAN],219.989331483841,52.38,4,1,8,80,147,16.13031217466,7.19580078125
5,P69892,Hemoglobin subunit gamma-2 OS=Homo sapiens OX=9606 GN=HBG2 PE=1 SV=2 - [HBG2_HUMAN],219.960076332092,52.38,4,1,8,80,147,16.11629652466,7.19580078125
6,P02100,Hemoglobin subunit epsilon OS=Homo sapiens OX=9606 GN=HBE1 PE=1 SV=2 - [HBE_HUMAN],200.595937728882,18.37,2,1,3,73,147,16.19247089466,8.63134765625
7,P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 - [ALBU_HUMAN],146.939648747444,51.56,8,30,30,46,609,69.32149882466,6.27783203125
8,P00915,Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2 - [CAH1_HUMAN],139.706967115402,68.2,13,13,13,40,261,28.85238934466,7.12255859375
9,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 - [FIBA_HUMAN],136.742936253548,29.45,2,20,20,45,866,94.9144191846604,6.01123046875
10,Q60FE5,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1 - [Q60FE5_HUMAN],119.804748535156,21.26,9,32,32,35,2620,278.052770494661,6.06201171875
11,P02549,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5 - [SPTA1_HUMAN]",111.54258275032,21.37,1,36,36,37,2419,279.841908974661,5.04638671875
12,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=4 - [FINC_HUMAN],98.9855476617813,20.12,3,28,28,30,2386,262.46011262466,5.70654296875
13,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],97.197213768959,14.29,4,22,22,25,2541,269.59906266466,6.07470703125
14,P02730,Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3 - [B3AT_HUMAN],97.06489777565,22.72,2,14,14,27,911,101.72741707466,5.18603515625
15,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",83.9974584579468,48.8,24,6,12,24,375,41.70973209466,5.47802734375
16,P32119,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5 - [PRDX2_HUMAN],82.0128163099289,68.69,2,12,13,23,198,21.87823885466,5.97314453125
17,P04040,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3 - [CATA_HUMAN],69.882337808609,44.21,1,15,15,20,527,59.7187578746601,7.38623046875
18,P11277,"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5 - [SPTB1_HUMAN]",62.1072615385056,13.8,5,21,21,22,2137,246.31574488466,5.27490234375
19,E7EQB2,Lactotransferrin (Fragment) OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=1 - [E7EQB2_HUMAN],56.9842455387115,32.18,4,17,17,20,696,76.5768903246601,8.01611328125
