,Accession,Description,Score,Coverage,# Proteins,# Unique Peptides,# Peptides,# PSMs,# AAs,MW [kDa],calc. pI
0,P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2 - [HBB_HUMAN],1191.76603138447,91.16,6,17,23,342,147,15.98829092466,7.28369140625
1,P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 - [HBA_HUMAN],968.322556376457,91.55,4,16,16,271,142,15.24792627466,8.67529296875
2,P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2 - [ALBU_HUMAN],809.589171409607,82.1,8,67,67,232,609,69.32149882466,6.27783203125
3,P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2 - [HBD_HUMAN],649.209518432617,88.44,6,9,15,194,147,16.04529062466,8.04541015625
4,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2 - [CO3_HUMAN],538.586629390717,62.24,5,83,83,156,1663,187.02988373466,6.40478515625
5,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2 - [FIBA_HUMAN],506.279579997063,41.57,2,36,36,155,866,94.9144191846604,6.01123046875
6,Q60FE5,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1 - [Q60FE5_HUMAN],342.284479498863,43.97,8,73,73,99,2620,278.052770494661,6.06201171875
7,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],316.255095005035,36.99,4,57,57,79,2541,269.59906266466,6.07470703125
8,P01023,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3 - [A2MG_HUMAN],312.052155137062,50.2,4,45,53,96,1474,163.18789839466,6.45556640625
9,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2 - [FIBB_HUMAN],308.200394272804,69.65,2,32,32,92,491,55.8922632646601,8.26513671875
10,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN],301.856713056564,63.67,2,28,28,93,267,30.75893391466,5.75732421875
11,P04114,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2 - [APOB_HUMAN],293.067314267159,24.11,2,87,87,99,4563,515.282932694663,7.04931640625
12,P02787,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3 - [TRFE_HUMAN],262.916613340378,57.74,7,38,38,81,698,77.0136334646601,7.12255859375
13,P0C0L5,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2 - [CO4B_HUMAN],232.729349851608,35.78,6,2,42,62,1744,192.63055081466,7.26904296875
14,P0C0L4,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2 - [CO4A_HUMAN],219.601811170578,34.17,1,1,41,60,1744,192.66447969466,7.07861328125
15,P69891,Hemoglobin subunit gamma-1 OS=Homo sapiens OX=9606 GN=HBG1 PE=1 SV=2 - [HBG1_HUMAN],216.919846773148,49.66,7,5,6,75,147,16.13031217466,7.19580078125
